NehID,Population,
1,33312,
2,32954,
3,10360,
4,10529,
5,9456,
6,22000,
7,22156,
8,10948,
9,15535,
10,11051,
11,18588,
12,10554,
13,11848,
14,43965,
15,9271,
16,25051,
17,33964,
18,11463,
19,10084,
20,12054,
21,12416,
22,15545,
23,10722,
24,21737,
25,30491,
26,35052,
27,27593,
28,9941,
29,10111,
30,17757,
31,14804,
32,22372,
33,16472,
34,15873,
35,26274,
36,23831,
37,16936,
38,16164,
39,23236,
40,17812,
41,9266,
42,27695,
43,17510,
44,21933,
45,34805,
46,15818,
47,27051,
48,16934,
49,13154,
50,16097,
51,50434,
52,21396,
53,15723,
54,18675,
55,21108,
56,16828,
57,11499,
58,9233,
59,17180,
60,7865,
61,15683,
62,21381,
63,21567,
64,12541,
65,14417,
66,9666,
67,7804,
68,11916,
69,7727,
70,27876,
71,11669,
72,10803,
73,20506,
74,18615,
75,31340,
76,25797,
77,65913,
78,17945,
79,7607,
80,13826,
81,16556,
82,31180,
83,11785,
84,15559,
,,Roncesvalles
86,14974,
87,23925,
88,22162,
89,10070,
90,14366,
91,11098,
92,14133,
93,36625,
94,14349,
95,30526,
96,10968,
97,12528,
98,20923,
99,16775,
100,11817,
101,10732,
102,12806,
103,15179,
104,29658,
105,14607,
106,14365,
107,21210,
108,14257,
109,9955,
110,11058,
111,22246,
112,6577,
113,17992,
114,7985,
115,13593,
116,24623,
117,43993,
118,27446,
119,27917,
120,26984,
121,13845,
122,22291,
123,15935,
124,17123,
125,13641,
126,25003,
127,29960,
128,23757,
129,29113,
130,26572,
131,46496,
132,43794,
133,13362,
134,12494,
135,17455,
136,27392,
137,53485,
138,22776,
139,16724,
140,9917,
